;BS/CS用
;チューナー空間(タブ区切り：$名称	BonDriverとしてのチューナ空間）
$BS	0
$CS110	1
;チャンネル(タブ区切り：名称	BonDriverとしてのチューナ空間	BonDriverとしてのチャンネル	PTxとしてのチャンネル	TSID(10進数で衛星波以外は0))
BS01/TS0	0	0	0	16400
BS01/TS1	0	1	0	16401
BS01/TS2	0	2	0	16402
BS03/TS0	0	3	1	16432
BS03/TS1	0	4	1	16433
BS03/TS2	0	5	1	17970
BS05/TS0	0	6	2	17488
BS05/TS1	0	7	2	17489
BS07/TS0	0	8	3	17520
BS07/TS1	0	9	3	18033
BS07/TS2	0	10	3	18034
BS09/TS0	0	11	4	16528
BS09/TS1	0	12	4	16529
BS09/TS2	0	13	4	16530
BS11/TS0	0	14	5	18096
BS11/TS1	0	15	5	18097
BS11/TS2	0	16	5	18098
BS13/TS0	0	17	6	16592
BS13/TS1	0	18	6	16593
BS13/TS2	0	19	6	18130
BS15/TS1	0	20	7	16625
BS15/TS2	0	21	7	16626
BS19/TS0	0	22	9	18224
BS19/TS1	0	23	9	18225
BS19/TS2	0	24	9	18226
BS21/TS0	0	25	10	18256
BS21/TS1	0	26	10	18257
BS21/TS2	0	27	10	18258
BS23/TS0	0	28	11	18288
BS23/TS1	0	29	11	18289
BS23/TS2	0	30	11	18290
ND02	1	0	12	24608
ND04	1	1	13	28736
ND06	1	2	14	28768
ND08	1	3	15	24704
ND10	1	4	16	24736
ND12	1	5	17	28864
ND14	1	6	18	28896
ND16	1	7	19	28928
ND18	1	8	20	28960
ND20	1	9	21	28992
ND22	1	10	22	29024
ND24	1	11	23	29056
